subjectid,color,shape,rt,accuracy
101,Yellow,Square,747000,Correct
101,Blue,Circle,677000,Correct
101,Green,Square,784000,Correct
101,Yellow,Circle,635000,Correct
101,Yellow,Square,659000,Correct
101,Red,Circle,472000,Correct
101,Red,Square,333000,Correct
101,Yellow,Circle,695000,Correct
101,Green,Square,672000,Correct
101,Green,Square,585000,Correct
101,Blue,Circle,473000,Correct
101,Green,Circle,619000,Correct
101,Red,Square,491000,Correct
101,Yellow,Circle,808000,Correct
101,Red,Square,444000,Correct
101,Green,Circle,500000,Correct
101,Blue,Square,426000,Correct
101,Yellow,Square,651000,Correct
101,Blue,Circle,630000,Correct
101,Yellow,Square,637000,Correct
101,Green,Circle,571000,Correct
101,Green,Square,776000,Correct
101,Yellow,Circle,614000,Correct
101,Yellow,Square,632000,Correct
101,Red,Circle,577000,Correct
101,Blue,Circle,529000,Correct
101,Red,Circle,552000,Correct
101,Yellow,Square,870000,Correct
101,Green,Circle,550000,Correct
101,Red,Square,384000,Correct
101,Yellow,Circle,637000,Correct
101,Red,Square,301000,Correct
101,Yellow,Circle,800000,Correct
101,Green,Square,737000,Correct
101,Green,Circle,629000,Correct
101,Red,Square,538000,Correct
101,Green,Circle,755000,Correct
101,Blue,Square,692000,Correct
101,Blue,Square,467000,Correct
101,Red,Circle,464000,Correct
