poemid,poemsize,cli,ari
a-winter-eden,medium,15.285259515570932,13.073437139561705
i-will-sing-you-one-o,large,13.845165945165942,10.95241341991342
new-hampshire,large,13.236954314720812,7.965437817258884
pea-brush,medium,16.698653846153842,20.16557692307692
place-for-a-third,large,14.910254777070065,12.9525
sitting-by-a-bush-in-broad-sunlight,medium,13.634328358208954,11.691428571428574
the-most-of-it,small,16.07207317073171,11.52747228381375
the-runaway,large,14.44587912087912,14.141978021978026
the-times-table,small,15.725133333333332,28.784200000000006
wild-grapes,small,12.993862068965512,25.766942528735633
