poemname,poemsize
a-hillside-thaw,large
a-passing-glimpse,small
a-winter-eden,medium
an-empty-threat,large
directive,large
dust-in-the-eyes,small
good-hours,medium
i-will-sing-you-one-o,large
locked-out,medium
looking-for-a-sunset-bird-in-winter,medium
maple,medium
misgiving,small
new-hampshire,large
pea-brush,medium
place-for-a-third,large
riders,medium
sand-dunes,small
sitting-by-a-bush-in-broad-sunlight,medium
the-birthplace,medium
the-egg-and-the-machine,large
the-flood,small
the-generations-of-men,large
the-housekeeper,large
the-investment,small
the-kitchen-chimney,small
the-last-mowing,small
the-last-word-of-a-blue-bird,medium
the-most-of-it,small
the-pauper-witch-of-grafton,large
the-runaway,large
the-times-table,small
the-witch-of-coos,large
wild-grapes,small
